token,count
constitutions,15
constitutivae,1
constitutivas,1
constiuisse,1
constr,1
constrain,2
constrained,13
constrains,4
constraint,4
constrast,1
constricted,1
constrictor,2
constrictors,2
construccion,7
construct,18
constructed,51
constructing,3
construction,55
constructions,5
constructive,6
constructively,1
constructor,1
construe,5
construed,9
construing,2
construir,1
construire,1
construisait,1
construit,2
construyendo,1
consuales,1
consualia,1
consubstantial,1
consue,1
consuelo,15
consuelos,2
consuetudines,1
consul,47
consular,1
consulate,7
consulatum,1
consull,1
consuls,5
consulship,1
consult,20
consultation,17
consultations,4
consulte,1
consulted,28
consultery,7
consulting,22
consum,3
consuma,1
consumant,1
consume,9
consumed,36
consumer,3
consumere,1
consumers,19
consumes,5
consumest,1
consuming,6
consummata,1
consummate,7
consummated,5
consummateque,1
consummating,1
consummation,13
consummatis,1
consumption,28
consumptive,6
consumptives,2
consus,1
conta,3
contact,57
contacted,1
contacts,1
contactuque,1
contados,1
contagion,6
contagious,12
contain,83
contained,85
containers,1
containin,1
containing,115
contains,155
contaminated,6
contamination,3
contandole,1
contant,1
contar,4
contayned,1
conte,22
contees,2
contemn,3
contemned,2
contemners,1
contemplarle,1
contemplarte,1
contemplate,25
contemplated,14
contemplates,4
contemplatif,2
contemplating,15
contemplation,43
contemplations,4
contemplativa,1
contemplative,12
contempler,1
contemporains,2
contemporaneous,4
contemporaries,27
contemporary,51
contempt,65
contemptae,1
contemptible,14
contemptously,1
contemptuous,18
contemptuously,12
contenaient,1
contenant,2
contend,19
contended,8
contenders,1
contending,9
contendit,1
contends,3
contenemenz,1
contenir,2
contenistes,1
content,169
contenta,6
contentas,1
contentate,1
contented,63
contentedly,9
contenterai,1
contenting,1
contention,9
contentions,2
contentious,1
contentment,16
contentos,2
contents,164
contentus,1
contenue,1
contenus,1
conter,7
conteras,1
conterei,2
conterent,2
conterunt,2
contes,3
contesse,1
contest,44
contested,7
contesto,1
contests,8
context,13
contexto,7
contexts,1
conteyne,1
contez,3
contibutors,1
contiene,2
contienes,1
contient,1
contigo,1
contiguity,1
contiguous,14
continence,2
continent,69
continental,21
continents,6
continentur,4
continered,1
continerly,1
continet,6
contingencies,3
contingency,4
contingent,8
continnered,1
continua,6
continuait,1
continual,31
continually,84
continuamente,1
continuance,13
continuation,9
continue,131
continued,514
continuel,2
continuels,1
continuer,4
continuera,1
continuerent,1
continues,35
continuing,20
continuity,10
continument,1
continuous,27
continuously,9
continuum,3
conto,1
contopus,3
contort,1
contorted,2
contortion,1
contortions,8
contortrix,1
contour,8
contr,3
contra,12
contraband,2
contract,35
contracted,34
contracting,5
contraction,3
contractor,5
contractors,2
contracts,8
contradict,9
contradicted,8
contradictin,1
contradicting,4
contradiction,11
contradictions,5
contradictoire,1
contradictoires,2
contradictory,6
contradicts,1
contradistinction,2
contraire,4
contraria,1
contrariando,1
contrariedad,1
contrariety,4
contrariis,1
contrario,1
contrarious,1
contrariwise,2
contrary,140
contraryversy,1
contrast,73
contrasted,19
contrasting,8
contrasts,6
contrat,2
contrats,6
contre,50
contredire,1
contredise,1
contredist,2
contredit,1
contree,4
contrees,2
contreiz,2
contrerevolution,1
contrerevolutionaer,1
contribute,32
contributed,62
contributes,8
contributing,11
contribution,27
contributions,24
contributor,8
contributories,1
contributors,12
contrista,1
contrite,1
contrition,1
contrito,1
contriv,1
contrivance,12
contrivances,9
contrive,20
contrived,48
contrives,1
contriving,3
control,176
controle,1
controll,1
controlled,19
controller,3
controllers,1
controlling,18
controls,3
controul,12
controve,1
controversial,6
controversialist,1
controversialists,1
controversies,12
controversy,25
controverted,4
contumely,2
contusion,2
contusionne,1
contusions,1
conuenient,1
conundrum,15
conundrums,6
convaincre,2
convainquantes,1
convalescence,1
convalescent,5
convalescents,3
conven,1
convenable,1
convenables,1
convenait,2
convencido,1
convene,1
convened,7
convenga,2
convenida,1
convenience,27
conveniences,6
convenient,65
conveniently,15
convenoit,1
convenshed,2
convenshun,2
convent,30
conventicles,1
conventicling,1
convention,63
conventional,20
conventionalities,5
conventionality,2
conventions,7
convents,4
conventui,1
conventvs,1
convenu,2
conver,1
converge,2
convergence,2
converging,1
conversa,2
conversacion,1
conversaciones,1
conversant,4
conversast,1
conversation,218
conversational,12
conversations,13
converse,34
conversed,13
conversely,2
converser,1
converses,1
conversing,16
conversion,29
conversions,1
convert,31
converted,61
convertibility,1
convertible,1
convertido,1
converting,6
convertir,1
convertist,1
convertiz,1
converts,12
conveto,1
convex,2
convexity,1
convey,51
conveyance,20
conveyancer,1
conveyances,2
conveyancing,1
conveyed,54
conveying,19
conveys,12
convict,15
convictdom,1
convicted,21
convicting,1
conviction,67
convictions,21
convicts,9
convidado,1
convie,1
conviene,2
conviennent,1
convient,1
convies,1
convince,35
convinced,79
convinces,1
convincing,19
convincingly,1
convirtio,1
convitiating,1
convives,1
convivial,8
conviviality,2
convocation,3
convoie,1
convoitise,1
convoked,1
convoluted,1
convolutions,1
convolvulus,2
convoy,5
convuls,2
convulse,1
convulsed,10
convulsion,6
convulsiones,1
convulsions,6
convulsive,9
convulsively,10
convulsivos,1
conway,5
cony,3
conyers,2
conyngham,1
coo,27
cooch,1
cood,1
cooed,4
cooeperation,1
cooing,6
cook,332
cooke,10
cooked,66
cooker,2
cookerie,1
cookery,13
cookes,2
cookies,20
cookin,2
cooking,38
cooks,16
cookshop,1
cookstove,1
cookt,1
cookwashiron,1
cooky,1
cool,163
coole,2
cooled,10
cooler,12
coolers,2
coolest,2
coolibah,2
coolibahs,1
coolie,8
coolies,19
coolin,2
cooling,14
coolly,24
coolness,16
cooloe,1
cools,4
coom,2
coomazu,1
coombagongniengowe,2
coon,2
coondheranea,1
coonin,1
coop,3
cooped,6
cooper,38
cooperate,5
cooperating,1
cooperation,41
cooperative,119
cooperatively,1
cooperatives,23
cooperator,1
cooperators,6
cooperii,1
coopers,2
cooples,1
coor,1
coordinated,1
coordination,8
coorses,1
coos,1
coost,1
coot,6
coote,2
coots,1
coow,2
cooy,1
cop,2
copa,2
copal,1
copartnership,1
cope,9
coped,2
copeland,1
copenhagen,10
copernicus,2
copers,1
copes,1
copey,1
coph,1
cophetua,3
copia,1
copie,3
copied,40
copiees,1
copier,1
copiere,1
copies,181
copiliary,1
coping,4
copiosiori,1
copious,15
copiously,5
copland,1
copley,1
copos,1
copped,2
copper,74
copperashun,5
copperblock,1
copperfield,6
copperhead,2
coppers,12
coppery,1
coppice,2
coppices,1
coppies,1
coppolani,1
coppy,1
copse,1
copt,3
copte,15
coptes,9
coptic,4
coptos,4
copula,1
copulativas,1
copulative,1
copulatrix,1
copulavit,1
copy,454
copybook,1
copying,23
copyist,4
copyists,5
copyright,10
copyrighted,5
coq,2
coque,1
coquet,1
coquetier,1
coquetish,2
coquetry,3
coquette,6
coquetting,1
coquettish,2
coquettishly,1
coquettishness,1
coquillard,26
cor,30
coracles,1
corage,2
coraggio,1
coral,94
corales,2
coraline,2
corallen,1
corals,10
coram,3
corax,1
corazon,37
corazones,3
corba,2
corbaux,1
corbel,1
corbet,2
corbiere,5
corboyl,1
corby,4
corca,3
corcaige,1
cord,28
cordage,6
cordages,2
corde,5
corded,1
cordelia,166
cordeliers,1
corder,2
corderos,1
cordes,1
cordi,1
cordial,29
cordiale,1
cordiality,9
cordially,19
cordials,1
cordil,2
cordillera,2
cordilleras,1
cordium,5
cordon,2
cords,9
corduroy,4
corduroys,5
cordwainer,3
cordwainers,1
cordyal,1
core,16
coreb,22
corelli,3
coreopsis,1
cores,2
corfu,2
corheoni,1
corina,1
corinium,2
corinne,1
corins,1
corinth,15
corinthian,10
corinthischen,1
corio,1
coriolanus,1
cork,48
corked,2
corker,4
corks,7
corkscrew,2
corly,2
cormac,8
cormaci,1
cormacvs,1
cormaic,1
cormorant,15
cormorants,5
corn,205
corncrakes,1
corne,1
corned,2
corneille,4
corneilles,1
cornelia,25
cornelian,1
cornelius,2
cornell,11
corner,281
cornered,4
corners,44
cornerstone,1
cornerwise,1
cornes,1
cornet,5
corney,3
cornfield,6
cornfields,2
cornflowers,1
cornhill,11
cornibus,1
cornice,6
cornices,2
corniculata,1
cornillon,3
cornish,5
corns,8
cornstarch,5
cornu,1
cornucopiae,1
cornucopias,1
cornudet,30
cornuto,1
cornwall,34
cornwallis,4
coro,6
corolario,3
corolla,1
corollaries,3
corollarium,1
corollary,2
corolles,1
coromandel,3
corona,5
coronadas,2
coronado,3
coronados,1
coronas,1
coronat,1
coronata,3
coronation,15
corone,2
coronel,2
coroner,9
coroners,2
coronet,4
coronets,5
coronetted,1
coros,2
corouciez,1
corporaciones,1
corporal,27
corporals,5
corporate,7
corporation,30
corporations,4
corporaus,1
corpore,3
corporeal,2
corporosity,2
corporum,2
corps,85
corpse,43
corpses,11
corpulence,1
corpulent,13
corpus,10
corpuscles,8
corral,5
corrals,3
corre,2
correa,1
correc,1
correct,115
corrected,23
correctest,1
correcting,6
correction,15
corrections,6
corrective,3
correctives,1
correctly,16
correctness,9
corrects,2
corred,1
correggio,1
corregidor,1
corregio,25
correlated,2
correlation,2
correlative,3
corren,2
correrias,1
correspond,19
correspondance,5
correspondant,3
corresponde,1
corresponded,4
correspondence,73
correspondent,114
correspondents,43
corresponding,32
correspondingly,3
corresponds,10
corria,1
corrian,2
corrido,1
corridor,14
corridors,10
corriendo,3
corriente,2
corrientes,1
corrieron,2
corriger,2
corrio,8
corrivall,1
corro,1
corroborate,6
corroborated,11
corroboration,6
corroborative,2
corroborees,1
corrode,1
corroding,1
corrompre,1
corrosions,1
corrosive,24
corrupshun,1
corrupt,21
corrupted,12
corrupter,1
corruptible,2
corrupting,4
corruption,33
corruptions,3
corruptly,1
corrupts,1
cors,21
corsage,12
corsages,2
corsair,1
corsairs,1
corse,7
corselet,2
corses,2
corset,6
corsets,8
corsica,5
corslet,1
corso,1
corta,2
cortada,2
cortado,1
corte,1
cortege,1
corteges,1
cortes,2
cortesie,1
cortez,2
corteza,2
corto,1
cortona,1
corty,1
corundrum,1
coruscates,1
coruscation,1
coruscations,1
corvette,1
corvidae,1
corvinus,2
corvus,6
coryate,1
corybantic,1
corydon,7
coryphee,2
coryvreckan,1
cos,38
cosa,40
cosacks,1
cosas,28
cose,1
cosey,1
cosh,1
coshman,1
cosin,1
cosmas,1
cosmetics,1
cosmic,2
cosmo,1
cosmol,1
cosmopolitan,2
cosmopolite,8
cosmorama,4
cosmoramas,3
cosmos,1
coso,1
cosos,1
cospetto,1
cossack,1
cossacks,18
cossaka,1
cossieu,1
cost,232
costa,3
costambol,1
costanos,1
costanza,4
costar,1
costard,1
coste,8
costello,1
coster,2
costermonger,1
costes,1
costez,1
costing,6
costlier,1
costliest,3
costly,36
costo,1
costoom,1
costs,39
costumbre,2
costume,42
costumed,2
costumes,12
cosy,14
cot,34
cotch,4
cotched,2
cote,42
cotelaines,1
coteles,1
cotemporary,2
coterie,3
coteries,2
cotes,16
cothurnus,2
cotillon,2
cotoient,1
coton,3
cotopaxi,1
cotorra,9
cotorras,1
cots,4
cotsall,1
cotta,4
cottage,157
cottager,3
cottagers,3
cottages,36
cotte,1
cotter,1
cottingham,1
cottiswold,3
cotton,260
cottoned,1
cottonian,2
cottonopolis,1
cottons,1
cottontail,1
coturniculus,2
cou,12
couch,52
coucha,1
couchas,1
couched,8
coucher,2
couches,1
couchette,1
couchier,1
coucht,1
coudres,4
couer,2
couerture,1
coues,11
couet,1
cough,53
coughed,31
coughin,1
coughing,23
coughs,7
coulati,1
could,4034
coulde,1
coulden,9
couldent,6
couldn,368
couldna,7
couldst,10
coule,2
couler,4
couleur,3
couleurs,2
couloir,3
couloit,1
coulommiers,1
coulton,1
coun,1
councel,1
councell,3
councells,1
councels,1
council,65
councillor,4
councillors,1
councilmen,1
councilors,1
councils,11
counk,2
counsel,65
counsell,2
counselled,8
counsellest,1
counselling,1
counsellor,8
counsellors,2
counselor,1
counselors,1
counsels,19
count,210
counted,47
countenance,155
countenanced,2
countenances,16
countenancing,1
countenaunce,3
counter,69
counteract,11
counteracted,4
counteracting,1
counterbalance,3
counterbalanced,6
counterblast,1
countered,4
counterfeit,7
counterfeited,1
counterfeiter,2
counterfeiters,2
counterfeiting,2
counterfeits,1
countermarch,2
countermines,1
counterpane,5
counterpanes,2
counterpart,8
counterplots,1
counterpoint,1
counters,3
countersign,5
countes,1
countess,64
countest,1
counteth,1
counther,2
counthry,2
counties,20
counting,32
countless,30
countree,2
countrey,3
countrie,2
countries,162
country,1411
countryman,18
countrymen,61
countrypeople,1
countryside,3
countrywoman,1
countrywomen,1
counts,13
county,133
coup,26
coupable,5
coupables,3
coupe,2
couped,1
coupee,1
coupes,1
couping,2
coupland,1
couple,225
coupled,8
coupler,1
couples,16
couplet,6
couplets,1
coupling,2
coupon,2
coups,9
cour,17
courage,199
courageous,18
courageously,5
courait,2
courant,19
courasche,2
courbe,1
courber,1
courbes,1
courbevoie,1
courcie,1
courciez,1
courcy,1
courier,12
couriers,5
courir,1
couroie,1
couronne,7
courons,1
courouca,3
couroucent,1
couroucera,1
couroucier,2
courouciez,6
courouz,4
courrier,2
cours,17
course,1023
coursed,2
coursers,3
courses,20
coursing,7
court,504
courtacon,1
courte,1
courteau,1
courted,16
courtenay,1
courteous,24
courteously,12
courtesan,1
courtesey,1
courtesies,3
courtesy,40
courtet,1
courthouse,1
courtier,14
courtiers,27
courtin,1
courting,20
courtisane,17
courtley,1
courtly,15
courtmartialed,1
courtney,5
courtois,1
courtoisie,1
courtroom,1
courts,87
courtship,11
courtships,2
courtyard,21
courtyards,1
coururent,1
courus,1
couruz,1
courz,1
cous,2
cousin,103
cousine,1
cousins,24
coustel,1
coustre,1
coustume,1
cousu,2
cout,1
coutances,3
coutch,1
coute,9
couteau,2
couteuses,1
couteux,1
couthon,2
coutts,3
coutume,2
coutumes,1
coutumieres,1
couturiers,1
couvant,1
couvenances,1
couvendroit,3
couvenist,1
couvenoit,1
couvenra,6
couvenroit,1
couvent,1
couvents,1
couverrunt,1
couvert,3
couvertement,1
couverts,3
couvient,14
couvint,7
couvoitise,1
couvri,1
couvrit,1
couyat,1
cove,8
covenant,10
covenanted,1
covenanters,2
covenanting,1
covenants,2
covent,30
coventry,10
cover,213
covered,334
coverin,1
covering,57
coverings,9
coverlet,6
coverlets,3
coverley,4
coverlids,1
covers,42
covert,9
coverts,1
coves,1
covet,1
coveted,14
coveting,2
covetous,5
covetousness,4
covets,1
covey,3
coveys,1
covint,1
covld,1
covode,2
covy,1
cow,108
cowan,1
coward,35
cowarde,1
cowardice,8
cowardliness,1
cowardly,17
cowards,14
cowardy,4
cowbird,2
cowboy,2
cowed,3
cowel,1
cower,1
cowered,1
cowering,3
cowers,2
cowherds,1
cowhide,2
cowhides,1
cowhiding,1
cowhouse,1
cowichan,2
cowl,8
cowld,2
cowley,1
cowpenner,1
cowper,18
cowries,1
cows,50
cowskin,1
cowslip,4
cowslips,1
cox,12
coxcomb,3
coxcombe,2
coxcombry,1
coxe,2
coxhoe,1
coxswain,4
coxwell,1
coxwold,3
coy,7
coyfe,1
coyly,6
coyne,2
coyness,2
coyote,10
coz,10
cozen,1
cozenage,3
cozened,8
cozener,1
cozeners,1
cozening,2
cozey,1
coznage,1
cozning,1
cozy,14
cozzens,8
cr,1
crab,51
crabb,5
crabbe,4
crabbed,5
crabbing,1
crabs,26
crack,74
crackabone,1
cracked,19
cracker,15
crackers,23
cracking,11
crackings,1
crackled,4
crackling,6
cracks,11
cracksman,1
crackt,3
cradle,66
cradled,5
cradles,3
cradock,1
craft,54
craftie,1
craftily,5
craftiness,1
craftsmanship,2
crafty,7
crag,14
cragg,1
cragged,1
craggy,6
crags,9
craig,2
craigie,1
craignait,2
craignant,1
craignit,1
craik,2
craindre,5
crains,1
crainte,3
cram,5
cramlington,1
crammed,11
cramming,2
cramoisy,1
cramp,5
cramped,10
cramponnees,1
cramponnent,1
cramps,2
crams,1
cranberries,1
cranberry,1
cranch,2
crane,10
cranes,10
cranial,1
craning,3
craniologist,3
craniologists,1
craniology,5
cranium,8
crank,7
crankiness,1
crankisms,1
cranks,3
cranky,3
cranley,2
cranmer,2
crannied,1
crannies,3
cranny,4
crapaud,1
crape,7
cras,27
crash,46
crashed,5
crashes,1
crashing,13
crass,2
crassane,1
crassus,4
crate,1
crater,13
crateris,1
craters,2
crates,2
crathis,2
cratures,1
crav,1
cravat,4
cravats,3
crave,15
craved,7
craven,20
craves,3
cravest,2
craveth,3
cravin,1
craving,16
cravings,5
crawford,2
crawfurd,5
crawl,28
crawled,27
crawler,1
crawlin,1
crawling,15
crawls,4
crayon,2
crayoned,1
crayons,3
crayture,1
craze,2
crazed,3
crazier,2
crazies,1
crazing,1
crazy,46
cre,1
crea,1
creacion,2
creada,2
creado,1
creadores,1
creak,3
creaked,8
creaking,10
creaks,3
cream,157
creamcheese,1
creamed,6
creams,4
creamy,8
crean,1
creance,7
creant,1
crearet,1
creas,1
crease,1
creases,1
creat,1
create,39
created,75
creates,15
createur,2
creating,14
creation,82
creations,10
creative,10
creator,24
creatur,2
creature,196
creaturen,1
creatures,171
creavit,1
crece,1
crecelles,1
crecen,3
crecer,4
crecian,5
crecido,1
crecio,2
cred,1
credence,2
credential,1
credentials,2
credere,1
credi,1
credibility,2
credible,9
credibly,1
credit,126
creditable,12
creditably,1
credited,22
creditor,8
creditors,11
credits,4
credo,2
credulidad,1
credulity,7
credulous,8
credulously,1
credulousness,1
cree,4
creed,35
creedal,1
creedon,83
creeds,23
creeis,1
creek,16
creeking,1
creeks,2
creel,1
creels,1
creencia,2
creep,50
creepe,1
creeper,5
creepers,3
creepeth,1
creepily,2
creeping,36
creepit,1
creeps,19
creepy,5
creer,2
creeria,1
creerlo,1
crees,5
creetur,2
creeturs,5
creez,2
crei,2
creia,1
creil,2
creira,2
creiras,1
creirei,1
creirunt,2
creisses,1
cremation,2
cremera,2
cremonas,1
crenaux,1
crenelee,2
creo,11
creoit,1
creole,1
creoles,1
creons,1
creosote,1
crepe,5
crepes,1
crepinettes,1
crept,88
crepuscule,1
crepusculo,2
crerei,1
creroie,1
crerunt,1
crescent,10
crescentiusbruecke,1
crescents,3
crescimb,1
crescy,1
cresol,6
cress,2
cresses,4
cressets,1
cressida,1
cressons,1
cresswell,1
cressy,5
crest,54
crested,15
crestfallen,3
cresting,1
crests,11
creswick,1
creta,1
cretan,4
crete,7
creters,1
creu,2
creusant,1
creuse,1
creussiez,1
creux,2
creuz,3
crevasse,1
crevecoeur,1
crevic,1
crevice,23
crevices,6
crew,118
crews,1
creyo,1
crez,1
crezancy,1
cri,17
cria,1
criador,3
criados,3
criar,1
criast,1
criatura,4
criaturas,4
crib,5
cribbage,2
cribbing,1
cribs,3
crichton,2
crichtoun,2
cricket,86
cricketing,1
crickets,5
cride,6
crie,3
cried,686
crieing,1
crier,7
crierent,1
cries,138
crieth,2
criez,1
criezy,1
crik,1
crim,1
crime,110
crimea,7
crimean,3
crimen,2
crimenes,8
crimes,62
criminal,41
criminales,2
criminally,3
criminals,23
criminate,2
criminating,1
criminel,2
crimp,3
crimped,4
crimping,3
crimps,3
crimpy,1
crimson,60
crineous,1
cringe,2
cringing,2
crinkly,2
crino,1
crinoline,3
crins,1
crio,1
criomhthain,1
criomhthan,1
crions,1
cripple,11
crippled,12
cripplegate,2
cripples,8
crippling,1
cript,1
cris,6
crise,1
crises,4
crisestomus,2
crisis,37
crisostomus,1
crisp,16
crispant,1
crisped,1
crispin,4
crispins,2
crispinus,1
crisply,4
criss,2
crissened,1
crist,17
cristal,4
cristalinas,1
cristalino,1
cristallines,1
cristallise,1
cristians,1
cristoval,1
criterion,6
criterions,1
critic,44
critica,1
critical,70
critically,9
criticam,1
criticas,1
criticise,4
criticised,6
criticising,2
criticism,59
criticisms,12
criticize,4
criticized,1
criticizing,1
critick,4
criticke,2
criticks,1
critics,49
criticship,1
critique,16
critiques,5
critische,1
crittenden,5
critter,5
critters,5
crittur,4
criz,7
cro,1
croak,8
croaked,2
croaker,5
croaking,2
croaks,1
croats,1
crobinea,2
croc,1
crocco,1
crochet,8
crocheting,1
crock,3
crocken,1
crockery,8
crocodile,13
crocodiles,5
crocus,2
crocuses,3
croenung,6
croesus,3
croesuses,1
croft,2
croftangry,1
crofton,4
crofts,9
croi,15
croibien,1
croie,1
croilanga,3
croilanoome,1
croilanume,1
croirait,1
croire,15
croirunt,1
crois,9
croisade,2
croisees,1
croisent,1
croises,2
croisic,3
croisickese,1
croissant,4
croissants,2
croisset,1
croistera,1
croistre,2
croit,9
croix,24
croker,4
croly,1
crom,3
cromarty,1
cromleac,3
cromlech,1
cromlechs,2
cromleh,6
cromlehs,1
crommelin,1
cromwell,47
cromwellian,1
cron,2
cronan,8
crone,24
cronen,1
crones,1
cronies,1
crony,3
croodle,1
crooel,1
crook,13
crooked,38
crookhaven,1
crooks,4
crool,2
croome,4
croon,3
crooned,3
croonie,1
crooning,3
croop,2
crop,44
cropped,8
crops,28
croquer,1
croquet,18
croquettes,1
croquis,1
cros,1
crosby,213
crose,1
croshay,1
crosier,4
cross,411
crossbars,1
crossbill,4
crossbow,2
crosse,4
crossed,147
crosses,41
crossest,1
crossgar,1
crossing,62
crossley,8
crossly,4
crosspatch,4
crosswise,7
crost,3
crotch,3
crotchets,1
croton,4
crouch,6
crouched,12
crouches,1
croucheth,1
crouching,13
croud,6
crouiz,20
croun,3
croup,6
croupe,1
croupier,2
croupy,1
crouse,1
croutaupot,1
crow,91
crowd,191
crowded,83
crowding,24
crowds,46
crowed,8
crower,1
crowers,1
croweth,1
crowfoot,1
crowing,15
crowland,1
crown,250
crownderby,1
crowne,6
crowned,66
crownes,3
crowning,14
crownless,2
crowns,52
crowquill,2
crows,33
croyaient,1
croyais,1
croyait,2
croyances,1
croyants,1
croydon,7
croyions,1
croyle,2
croyoient,1
croyoit,1
croyons,3
crozier,2
cru,4
cruaute,1
cruautes,1
crucefier,1
crucefiez,1
crucial,3
cruciating,1
crucifide,1
crucifie,2
crucified,10
crucifier,1
crucifies,2
crucifix,5
crucifixes,1
crucifixion,9
crucify,4
crucis,1
cruda,2
crude,12
crudeles,1
crudely,3
crudeness,2
crudities,1
cruel,190
crueles,2
cruelle,2
cruelles,2
cruellest,2
cruelly,20
cruelmente,1
cruels,3
crueltie,1
cruelties,14
cruelty,56
cruet,1
crueus,1
cruikshank,2
cruise,18
cruised,1
cruiser,13
cruisers,6
cruising,3
crumb,3
crumble,2
crumbled,5
crumbles,3
crumblety,1
crumbling,14
crumblings,1
crumbs,25
crumenam,1
crummles,1
crump,1
crumpet,1
crumpled,12
crunch,2
crunched,2
crunching,4
cruore,1
crurent,1
crus,1
crusade,3
crusader,6
crusaders,3
crusades,6
crusado,1
cruse,1
crush,35
crushed,43
crusher,3
crushes,4
crushing,18
crusoe,13
crust,30
crustacea,1
crustacean,1
crustaceous,1
crusted,2
crustily,1
crusts,4
crusty,4
crut,7
crutch,4
crutched,1
crutches,11
crux,6
cruz,30
cruzados,1
crvsado,1
cry,432
cryin,7
crying,142
crymophilus,2
crymson,1
crypt,4
cryptic,2
cryptoglaux,4
crysis,1
crystal,35
crystall,1
crystalli,2
crystalline,2
crystallisabiles,1
crystallisandum,1
crystallisari,1
crystallisatur,1
crystallised,1
crystallizations,1
crystallized,3
crystallizes,1
crystallos,1
crystals,7
cts,49
cu,7
cua,2
cuagne,1
cual,11
cuales,7
cualesquiera,2
cualquier,1
cualquiera,2
cuana,6
cuanan,1
cuando,35
cuangus,1
cuantas,1
cuanto,5
cuantos,1
cuartel,1
cuarto,5
cuas,3
cuatro,1
cub,7
cuba,16
cuban,5
cubans,2
cubbins,6
cubby,1
cube,5
cubes,13
cubic,6
cubical,3
cubicorum,1
cubierta,3
cubiertas,1
cubit,2
cubits,2
cubo,1
cubos,1
cubre,4
cubren,1
cubriendo,1
cubrira,2
cubs,3
cuchillo,3
cuchillos,1
cuchulain,1
cuciniceas,1
cuck,2
cuckold,11
cuckoldly,3
cuckoo,14
cuckoos,3
cuckow,1
cuculidae,1
cucullatus,1
cucullus,1
cucumber,13
cucumbers,2
cucurbita,3
cucurbitae,1
cucuta,1
cud,5
cuddle,2
cuddled,5
cuddling,4
cuddunt,1
cuddy,31
cudford,3
cudgel,9
cudgell,1
cudgelled,1
cudgels,1
cudgle,1
cudjingie,2
cudjo,1
cuds,1
cue,16
cuece,2
cueillis,1
cuentame,1
cuentan,1
cuento,1
cuer,22
cuerine,1
cuerpo,5
cuers,9
cues,2
cuesta,7
cuevre,1
cuff,5
cuffed,3
cuffee,1
cuffing,2
cuffney,25
cuffs,8
cui,22
cuidaba,1
cuidado,1
cuidados,2
cuidando,1
cuidar,2
cuidare,1
cuidions,1
cuilennan,1
cuilinn,2
cuiller,1
cuirass,1
cuirasses,1
cuirassiers,3
cuirce,1
cuirche,1
cuisine,3
cuivre,2
cujuju,1
cujus,4
cujuscunque,1
cul,2
culdees,3
culex,1
culiar,1
culicu,1
culinary,7
cull,7
cullane,1
culled,3
cullen,4
cullender,1
cullered,4
cullers,4
culley,3
culloden,1
culls,1
culm,1
culminant,1
culminate,2
culminated,2
culminates,3
culminating,1
culmination,5
culottes,1
culpabilite,1
culpability,1
culpable,9
culpably,1
culpepper,57
culprit,16
culprits,13
cult,7
cultas,1
culte,6
cultivate,38
cultivated,76
cultivates,3
cultivateur,7
cultivateurs,5
cultivatin,1
cultivating,11
cultivation,41
cultivators,2
cultive,4
cultivee,2
cultivees,3
cultivent,1
cultiver,1
cultives,1
cultivoient,1
cults,3
cultur,1
culture,71
cultured,5
cultures,5
culturist,1
cultus,1
culverts,1
cum,103
cumana,3
cumanus,1
cumb,2
cumber,2
cumbered,2
cumbereth,2
cumberland,27
cumbers,1
cumbersome,1
cumbre,6
cumbres,1
cumbrian,2
cumbrous,4
cumbrously,1
cumferal,1
cumjak,1
cumlulinuk,1
cumme,3
cummer,2
cumming,2
cummings,1
cumnor,2
cumpla,1
cumplan,1
cumple,2
cumpleanos,1
cumplimiento,1
cumpliran,1
cumulative,2
cumulos,1
cun,7
cunard,3
cundinamarca,2
cundy,1
cuneiform,2
cuneo,4
cuni,1
cunicularia,1
cunnamulla,1
cunnin,1
cunning,68
cunningham,18
cunningly,9
cuoold,1
cuori,1
cup,402
cupa,1
cupar,1
cupboard,40
cupboards,4
cupid,30
cupidite,2
cupidity,5
cupido,3
cupids,3
cupiens,1
cuple,1
cupliku,3
cupmuk,1
cupola,5
cupolas,1
cupped,1
cuppid,1
cups,94
cupwise,1
cur,10
cura,3
curacoa,1
curacy,2
curante,1
curantur,1
curar,1
curaschoeser,1
curassoa,1
curassos,1
curassow,1
curast,1
curat,1
curate,43
curates,4
curative,1
curato,4
curator,3
curatore,1
curavi,1
curb,12
curbing,2
curbs,2
curcase,2
curcumae,1
curd,1
curdes,1
curdled,3
curdling,2
curds,3
cure,88
cured,33
curer,5
cures,5
curfew,8
curfuffle,2
curiae,3
curieuses,1
curieux,3
curing,8
curio,11
curios,3
curiosa,1
curiosidad,1
curiosite,1
curiosities,28
curiosity,109
curioso,1
curious,259
curiously,40
curl,32
curled,35
curlest,1
curlew,6
curling,22
curls,62
curly,41
curmudgeons,1
currabubula,1
curran,1
currant,18
currants,28
currelly,1
currency,21
current,83
currents,22
curricle,2
curriculum,1
currie,1
curried,2
curry,7
curs,3
curse,86
cursed,46
curseful,1
curses,23
cursin,1
cursing,16
cursitor,1
cursive,1
curso,6
cursory,6
curst,1
curt,3
curtail,1
curtailed,3
curtailing,1
curtain,96
curtained,4
curtains,44
curtal,1
curten,1
curtii,1
curtis,7
curtius,4
curtly,7
curtoni,2
curtsey,2
curtsied,2
curtsies,1
curtsy,4
curvature,3
curvatus,1
curve,25
curved,12
curves,14
curvet,1
curvets,1
curving,3
curvirostra,1
curzon,8
